From,mergedData,,
0x40627c552eeaD2e62eb7eC82d7039E9ff41D3752,1639546,,-1639546
MULTISIG_TVL_AUCTION,0,,0
MULTISIG_TEAM+GENESIS_POOL,0,,0
0x635A98BEeAe62De55E91AC2987b7dafFd22099B5,668537.7019,,193976.5463
MULTISIG_MONOLITH_ALLOCATIONS,0,,0
0x5340fbE9A73F1c5233714961e4CfDDE77F6E633B,270456.72,,-270456.72
0xfffffd059e97c2bfc822569e13f636c3d176db41,55.4094676,,0
0xffec26c4ff03bbaf5119b797595f7e73062cbd98,59.08623134,,0
0xffcfa5f7b994aeb4c6931e0a6cd95d8984e038ce,371.5677515,,0
0xff0c998d921394d89c5649712422622e3172480c,131.5547266,,0
0xfeb2523775623f37e234a9ea4f759d74178a8469,0,,0
0xfe9d53b402fd957f5c1a4963526bb6984d9f8916,784.1639169,,0
0xfe9182cd69f9feb2a22c8bb88d03dcbbdff77f11,300.0562451,,0
0xfe5f1c176b1481574c98476a04476bb2b1942f2c,517.981154,,0
0xfe53ccf541612a508a93523873636f3cd084bf2f,142.5704571,,0
0xfe51263bd0d075dc5441e89ecd1f6d63ff41e02e,1290.882016,,0
0xfe5054542b105d289be62f1814553cb24ad104c1,5.852522494,,0
0xfe1bcc5e4f0f83daa7ac8be191802ad4ab9079fe,124.3013972,,0
0xfde3847df14afae2d57842e646328eec9c0999fc,0,,0
0xfd75f880b060842d77c6c886f569e7d8e7d604a2,1057.331822,,0
0xfd5f1397e32506aadae56514bcf6ce4246ecda0c,98.76131825,,0
0xfd369569d74ba38cc8f5513b49ffde557413a3de,134.0069482,,0
0xfd18bef7dd24a9ba3efcbc27771c80acec11f530,394.3361604,,0
0xfcecc24729bccb72fb3ec5d9bcb25a8051e246fb,25136.38556,,0
0xfcc48790514bb13fa04f848b7a6a51b3e636721d,0.001038870502,,0
0xfc961534a0a55b925db2c5ee546c8a019c0d78d5,0.1106542305,,0
0xfc7c0ef10907a1ed1aea1a34642a14f8ec2d2677,5.735774387,,0
0xfc698d35845fbf3406841e35e37a44ef032ea21b,1677.368335,,0
0xfc41eb1471e4bc3590c499bda639d1917868b33d,339128.3259,,-0.0000000001746229827
0xfc1b3ddc4c366a3a5dc810a56d609c487f352835,432.0904559,,0
0xfb96e0c2dcaff9d18cb876c26019040c50c242d3,0.08081240859,,0
0xfb73040cf9c20611f2c77a68972081efe995ceb9,1035.818954,,0
0xfb5c8ad70670283021b942f29f9bc1e3bc1ae476,33.95302237,,0
0xfb5c89aedce6e3bb9caae4932768a76071dc93b6,0.09758126869,,0
0xfb4c6c088ef697036d8a51f151a8404775b8f270,3939.895786,,0
0xfb338e8643e7f6bd9ae5c96a0eb2e9e835de4f48,23.9503975,,0
0xfb17d5cd85854b6bee89e714591de521f3169de5,10169.29898,,0
0xfaff9f426e8071e03eebbfefe9e7bf4b37565ab9,2875.400289,,0
0xfae8b4004fc0678dec7ab043288955095a6b9a86,1141.688523,,0
0xfa799cd1ef2752ff0d6aba9669239ed55925b455,5.405228054,,0
0xfa537c114edd1d85a6019222c1c0e90707d2088d,5312.402651,,0
0xfa0fc81b2fa54aeac07a93bb8d173657724dae29,63.00059049,,0
0xfa088e1f6691a4de186b6486a3266687019cf916,0,,0
0xf9e67e79d364c6b0f65b789deab8130bd708c9f9,20.83622753,,0
0xf9e38a69693074ee37ec73cc9cdbbe9eb7f69a47,24.35569406,,0
0xf9d287ddc3b7e7e0cc153d157b5aa1adaaaef24a,0.1585930066,,0
0xf9b5fb20e7572ae561f8ebd282f6fd9f67d10878,0,,0
0xf99c8873b972b4192e789f55ab954188d0d9a133,12838.88272,,0
0xf9868b3960348194371b8ca4fe87ca7de95e40b6,37.90905086,,0
0xf97c77c4a036752854663ca597f097aa5db7534b,1.797343528,,0
0xf93b495c4c9024a9c2ec4aa84098a9569025a6df,1173.855265,,0
0xf929d295bf9a2a261eea49bc08f94c08a4880850,255.6916594,,0
0xf925cc2cbea0b2b30aef6c29ec0c77d7cb6fcb6f,55.64793912,,0
0xf8e98a6539545590f70ea8d46d5147118ee139e6,910.9552889,,0
0xf8e94a2ac949fa4b214397eacb58c09fad6b3a61,3.462908293,,0
0xf840bdfe3e49916c4aa4ea6d8dae7d025607d69a,9.844037265,,0
0xf82ce7b9692a32c27fe5477b6c85f163f2920eea,49195.73859,,0
0xf7ae52d44c7e06522b0c4ea2170d83c20a63cd1b,1937.317034,,0
0xf725cc2b6ec42fc500f85e82a4ba6289f65354fb,2557.209754,,0
0xf64d63a924b005f237eba17f47793186d4b373e8,0.07202457819,,0
